,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3692,CSS1103281350224120296,27,25,20,33,75,27,8,5,3,4,1,0,0,0,1,2,1,1,0,0,0,1,1,2,3,4,6,5,4,5,38,25,71,65,3
3693,CSS1103281290384113038,16,15,14,26,46,26,16,11,11,47,2,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,5,4,3,8,35,29,74,65,2
3694,CSS1103281260744127610,44,36,29,45,49,13,8,3,2,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,6,4,3,3,34,30,71,69,5
3695,CSS1103281260734125627,20,20,19,35,67,42,18,6,2,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,3,6,4,3,3,32,32,72,68,1
3696,CSS1103281070694141533,45,39,34,47,41,13,9,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,3,6,5,3,5,35,29,73,66,5
3697,CSS1103271320474107414,56,48,34,38,32,13,4,2,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,2,2,5,4,3,7,35,31,74,64,8
3698,CSS1103271230724108822,52,40,27,33,41,13,9,11,3,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,3,4,9,5,3,4,47,38,81,33,5
3699,CSS1103271230484143622,40,35,31,47,55,10,6,5,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,2,5,4,3,8,35,30,61,76,1
3700,CSS1103270040824118940,46,43,36,49,41,7,4,1,2,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,3,3,6,4,3,3,36,31,78,59,6
3701,CSS1103261320584123035,44,37,32,47,46,11,7,3,1,2,1,0,0,0,1,1,1,1,0,1,1,1,1,1,3,3,6,5,3,3,35,31,73,65,5
3702,CSS1103260070534123140,41,38,31,43,46,15,8,6,2,1,0,0,0,0,1,2,1,1,1,0,1,0,1,1,3,3,6,5,2,3,36,29,78,61,5
3703,CSS1103260070534102536,147,42,11,16,9,2,1,2,1,0,0,0,0,0,1,2,1,1,1,0,1,0,1,1,3,3,6,5,2,3,36,29,77,62,3
3704,CSS1103251180584134410,45,38,33,46,43,8,3,4,7,3,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,2,5,4,3,6,34,29,74,66,5
3705,CSS1103251090574109083,39,36,32,47,55,15,3,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,2,5,4,3,10,35,28,62,75,5
3706,CSS1103250070674112217,20,19,19,33,54,30,24,19,9,3,0,0,0,0,1,1,1,1,0,1,1,0,1,1,2,3,6,4,3,4,37,31,71,64,2
3707,CSS1103250010614139940,27,27,25,43,66,25,10,4,1,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,3,6,4,3,4,36,31,73,65,5
3708,CSS1103241090554135108,37,35,31,47,55,16,5,1,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,4,4,3,11,35,29,66,71,5
3709,CSS1103240040654148326,24,24,22,40,71,35,9,2,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,6,5,3,6,37,31,65,68,0
3710,CSS1103161400604128161,48,36,31,44,42,11,5,3,3,6,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,3,7,5,3,3,34,28,68,72,5
3711,CSS1103161260694125129,35,33,30,46,54,14,7,4,2,5,0,0,0,0,1,1,1,1,0,0,0,1,1,1,3,3,6,4,3,3,33,31,70,69,3
3712,CSS1103141320434111930,23,23,22,39,66,28,11,6,4,7,3,0,0,0,1,1,1,1,1,1,0,1,1,1,2,2,5,4,3,6,35,29,74,66,2
3713,CSS1103141290534131906,22,22,20,36,69,43,15,3,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,2,5,4,3,6,36,31,70,68,1
3714,CSS1103131070724106121,31,29,27,44,72,21,4,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,2,3,6,5,3,4,33,29,74,66,0
3715,CSS1103130180704131543,75,61,40,30,9,5,2,2,6,1,0,0,0,0,1,2,1,1,0,1,1,1,1,1,3,4,8,5,3,3,42,31,83,44,0
3716,CSS1103130010704109438,56,48,39,45,24,4,6,4,2,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,2,3,6,4,4,6,37,33,77,56,5
3717,CSS1103121520434112450,30,28,26,43,45,13,15,10,6,14,1,0,0,0,1,2,2,1,0,1,0,0,1,1,3,4,8,6,4,5,36,23,45,89,2
