,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
3473,CSS1009101290064106299,40,24,16,22,21,5,2,1,1,1,98,0,0,0,1,1,1,1,0,0,1,1,1,1,3,3,6,3,3,4,33,30,70,72,4
3474,CSS1009101260024128411,43,36,28,40,48,15,6,4,5,1,5,0,0,0,1,1,1,1,1,1,0,0,1,1,2,3,5,3,3,6,32,31,72,70,5
3475,CSS1009101091244136375,38,33,29,41,50,19,11,6,1,2,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,3,4,3,3,7,35,30,71,67,5
3476,CSS1007071210894180794,25,23,21,32,41,26,20,13,21,8,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,3,4,3,3,10,32,28,60,78,2
3477,CSS1007071040904138258,36,34,30,45,44,9,3,1,2,25,2,0,0,0,1,1,1,1,0,1,1,1,1,1,2,2,5,3,3,9,32,31,67,71,2
3478,CSS1007061070934182952,38,34,29,47,42,13,9,3,0,2,13,0,0,0,2,3,2,1,0,0,0,0,1,2,4,5,8,5,1,4,31,24,86,48,2
3479,CSS1007060090764128700,42,39,34,48,49,10,5,2,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,2,6,5,3,4,32,30,67,73,5
3480,CSS1007060071224126730,44,22,17,24,20,6,3,0,0,44,50,0,0,0,1,1,1,1,0,0,1,1,1,1,3,2,4,4,3,7,35,32,74,62,4
3481,CSS1007060070834117534,28,27,24,39,64,36,10,2,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,3,3,6,4,3,3,34,31,71,68,0
3482,CSS1007060070824111635,39,36,30,44,43,12,6,8,11,2,0,0,0,0,1,1,1,1,0,1,1,1,1,1,3,3,6,4,3,3,35,30,72,66,2
3483,CSS1007051120874117074,28,26,24,38,50,28,11,2,2,15,6,0,0,0,1,1,1,1,0,0,0,1,1,1,3,3,7,5,4,8,43,36,76,44,2
3484,CSS1007051120804138886,28,27,25,45,75,25,4,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,3,4,8,5,3,3,45,38,84,34,0
3485,CSS1007051090844114842,56,46,34,43,39,9,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,3,3,7,5,3,5,43,37,80,41,5
3486,CSS1007051071254133856,51,45,36,46,33,7,7,3,2,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,3,3,5,4,4,9,39,37,79,45,5
3487,CSS1007041260754143937,25,25,23,43,74,29,7,2,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,3,3,6,4,2,3,35,31,68,71,0
3488,CSS1007041231134130770,37,34,31,49,59,13,3,1,1,3,0,0,0,0,1,1,1,1,0,0,0,1,1,1,2,3,4,3,3,9,36,28,58,80,1
3489,CSS1006241041184114393,23,22,21,36,57,30,19,14,7,2,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,2,4,3,3,11,34,30,69,68,2
3490,CSS1006241011224119188,40,34,29,37,38,16,9,3,7,15,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,2,4,4,3,8,35,29,71,68,2
3491,CSS1006200121124103071,33,32,29,47,62,18,5,2,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,2,3,3,3,10,33,29,68,71,6
3492,CSS1006191261154142735,43,37,30,38,47,19,11,3,2,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,2,4,3,3,7,34,31,69,70,5
3493,CSS1006190010914178052,26,24,22,37,49,18,12,16,18,8,0,0,0,0,1,1,1,1,1,0,0,1,1,1,3,3,5,3,3,6,32,32,71,68,2
3494,CSS1006181180794136057,47,40,32,46,44,14,5,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,3,6,4,2,5,35,31,76,62,5
3495,CSS1006181091244116352,53,47,39,48,30,6,3,2,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,3,4,3,3,7,35,30,69,70,3
3496,CSS1006171071214126085,46,42,36,48,40,10,6,2,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,2,2,4,3,3,9,35,30,69,69,5
